domain,pc1,afm,afm_bias,afm_min,afm_rely,fc,mbfc,mbfc_bias,mbfc_fact,mbfc_min,lewandowsky_acc,lewandowsky_trans,lewandowsky_rely,lewandowsky_mean,lewandowsky_min,misinfome_bin
newsnationnow.com,0.946742643739216,0.9395,0.9871,0.8919,0.8919,0.654432594776154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
arstechnica.com,0.946362498302995,0.9251,0.9356,0.9146,0.9146,0.666579723358154,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
verafiles.org,0.944724772225377,0.822626292705536,0.778370440006256,0.774952471256256,0.879824161529541,0.66706520318985,1,1,1,1,1,1,1,1,1,1
nejm.org,0.944319163489942,0.822626292705536,0.778370440006256,0.774952471256256,0.879824161529541,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
biomedcentral.com,0.944319163489942,0.822626292705536,0.778370440006256,0.774952471256256,0.879824161529541,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
apa.org,0.944319163489942,0.822626292705536,0.778370440006256,0.774952471256256,0.879824161529541,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
aaas.org,0.944319163489942,0.822626292705536,0.778370440006256,0.774952471256256,0.879824161529541,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
medpagetoday.com,0.944057016812522,0.821930885314941,0.780476629734039,0.772589325904846,0.878434717655182,0.66706520318985,1,0.996537327766418,1,1,1,1,1,1,1,1
voanews.com,0.943723767994693,0.9198,0.9011,0.9011,0.9386,0.660893023014069,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
edge.org,0.942677265108602,0.846743106842041,0.835589289665222,0.816003143787384,0.846325993537903,0.535703063011169,1,0.996537327766418,1,1,1,1,1,1,1,1
skeptoid.com,0.942677265108602,0.846743106842041,0.835589289665222,0.816003143787384,0.846325993537903,0.535703063011169,1,0.996537327766418,1,1,1,1,1,1,1,1
afr.com,0.941320926225632,0.924260318279266,0.942785203456879,0.899418711662293,0.91070145368576,0.614368379116058,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
syracuse.com,0.940444469429823,0.9177,0.9099,0.9099,0.9256,0.614368379116058,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
newscientist.com,0.935582630250769,0.850436508655548,0.833950459957123,0.800629317760468,0.836493492126465,0.467942833900452,1,0.996537327766418,1,1,1,1,1,1,1,1
sciencebasedmedicine.org,0.935582630250769,0.850436508655548,0.833950459957123,0.800629317760468,0.836493492126465,0.467942833900452,1,0.996537327766418,1,1,1,1,1,1,1,1
csmonitor.com,0.935094190129455,0.9089,0.9193,0.8985,0.8985,0.59553599357605,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
eagletribune.com,0.934656389724824,0.914521932601929,0.923099279403686,0.886387228965759,0.897056996822357,0.59553599357605,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
medscape.com,0.934094911736869,0.818237483501434,0.805943846702576,0.799247860908508,0.830810606479645,0.535703063011169,1,0.996537327766418,1,1,1,1,1,1,1,1
patch.com,0.933491002134259,0.9005,0.8405,0.8405,0.9606,0.665762662887573,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
defensenews.com,0.933374654105194,0.8977,0.9121,0.8833,0.8833,0.638681054115295,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
niskanencenter.org,0.93233933163646,0.891365468502045,0.893300831317902,0.87770414352417,0.892656207084656,0.649187982082367,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
